month,property_type,duration,sales_volume,median_price,total_revenue
1999-11-01,F,F,566,60000.0,59272604.0
1999-11-01,F,L,17474,71995.0,1731432956.0
1999-11-01,S,F,28459,69950.0,2439866332.0
1999-11-01,S,L,2522,57000.0,161666337.0
1999-11-01,T,F,30263,59950.0,2371206580.0
1999-11-01,T,L,2921,40000.0,167277326.0
1999-12-01,D,F,26371,120000.0,3899580287.0
1999-12-01,D,L,1015,90000.0,110270178.0
1999-12-01,F,F,587,64750.0,60688356.0
1999-12-01,F,L,18030,73250.0,1841945244.0
1999-12-01,O,F,1,17000.0,17000.0
1999-12-01,S,F,27455,69995.0,2360781792.0
1999-12-01,S,L,2504,56950.0,157994197.0
1999-12-01,T,F,29879,59995.0,2341304053.0
1999-12-01,T,L,2882,39950.0,169932074.0
2000-01-01,D,F,16026,122500.0,2510419602.0
2000-01-01,D,L,607,89000.0,62291270.0
2000-01-01,F,F,380,60000.0,34950979.0
2000-01-01,F,L,12551,74500.0,1327502881.0
2000-01-01,S,F,18263,70000.0,1627045303.0
2000-01-01,S,L,1579,58950.0,108931130.0
2000-01-01,T,F,20779,59996.0,1688567584.0
2000-01-01,T,L,2096,39962.5,120581736.0
2000-02-01,D,F,17341,121000.0,2632259796.0
2000-02-01,D,L,647,90200.0,69949187.0
2000-02-01,F,F,465,60000.0,49499664.0
2000-02-01,F,L,13546,75000.0,1385182529.0
2000-02-01,S,F,19356,69995.0,1685566063.0
2000-02-01,S,L,1722,57000.0,106714720.0
2000-02-01,T,F,21772,59950.0,1743781751.0
2000-02-01,T,L,2215,38000.0,113443283.0
2000-03-01,D,F,23267,122500.0,3638085190.0
2000-03-01,D,L,1014,91500.0,110351794.0
2000-03-01,F,F,554,60000.0,63528595.0
2000-03-01,F,L,17380,76000.0,1864664714.0
2000-03-01,O,F,1,135000.0,135000.0
2000-03-01,S,F,26312,70000.0,2314781701.0
2000-03-01,S,L,2307,57500.0,148912144.0
2000-03-01,T,F,28931,60000.0,2412163672.0
2000-03-01,T,L,2978,39950.0,175098669.0
2000-04-01,D,F,21429,125000.0,3374556295.0
2000-04-01,D,L,899,95000.0,116275839.0
