month,county,sales_volume,total_revenue,median_price
1995-04-01,HUMBERSIDE,1058,51845019.0,42000.0
1995-04-01,ISLE OF ANGLESEY,1,32000.0,32000.0
1995-04-01,ISLE OF WIGHT,173,8590417.0,44500.0
1995-04-01,KENT,1882,127854845.0,55000.0
1995-04-01,LANCASHIRE,1456,71442808.0,44225.0
1995-04-01,LEICESTER,271,12001232.0,37950.0
1995-04-01,LEICESTERSHIRE,772,49024517.0,52387.5
1995-04-01,LINCOLNSHIRE,864,43393223.0,46000.0
1995-04-01,LUTON,229,10919615.0,42000.0
1995-04-01,MEDWAY,4,236495.0,58250.0
1995-04-01,MERSEYSIDE,1154,57846457.0,42950.0
1995-04-01,MERTHYR TYDFIL,41,1546784.0,34000.0
1995-04-01,MID GLAMORGAN,455,18977026.0,38000.0
1995-04-01,MIDDLESBROUGH,125,5651110.0,42750.0
1995-04-01,MILTON KEYNES,312,20215439.0,56500.0
1995-04-01,MONMOUTHSHIRE,2,55300.0,27650.0
1995-04-01,NEATH PORT TALBOT,3,85500.0,34000.0
1995-04-01,NEWPORT,132,6708105.0,44497.5
1995-04-01,NORFOLK,1026,56625170.0,48450.0
1995-04-01,NORTH EAST LINCOLNSHIRE,5,175500.0,30000.0
1995-04-01,NORTH LINCOLNSHIRE,1,60000.0,60000.0
1995-04-01,NORTH SOMERSET,2,190000.0,95000.0
1995-04-01,NORTH YORKSHIRE,712,49217342.0,57950.0
1995-04-01,NORTHAMPTONSHIRE,850,47445970.0,45000.0
1995-04-01,NORTHUMBERLAND,321,17697430.0,47000.0
1995-04-01,NOTTINGHAMSHIRE,1071,56993983.0,45000.0
1995-04-01,OXFORDSHIRE,812,71740533.0,70375.0
1995-04-01,PEMBROKESHIRE,2,300000.0,150000.0
1995-04-01,POOLE,270,20418681.0,58500.0
1995-04-01,PORTSMOUTH,254,13812686.0,47250.0
1995-04-01,POWYS,76,3977400.0,42750.0
1995-04-01,READING,155,9541843.0,55000.0
1995-04-01,REDCAR AND CLEVELAND,4,192995.0,46747.5
1995-04-01,RHONDDA CYNON TAFF,5,207950.0,44950.0
1995-04-01,RUTLAND,44,3850850.0,69500.0
1995-04-01,SHROPSHIRE,569,33351215.0,49000.0
1995-04-01,SLOUGH,144,8675914.0,54425.0
1995-04-01,SOMERSET,641,40679297.0,53000.0
1995-04-01,SOUTH GLAMORGAN,133,8908983.0,54000.0
1995-04-01,SOUTH GLOUCESTERSHIRE,4,364950.0,68225.0
