month,county,sales_volume,median_price,vol_prev_year,med_prev_year,yoy_sales_volume,yoy_median_price
1995-03-01,WREXHAM,3,7000.0,,,,
1995-03-01,YORK,142,51000.0,,,,
1995-04-01,AVON,1164,54000.0,,,,
1995-04-01,BATH AND NORTH EAST SOMERSET,2,132500.0,,,,
1995-04-01,BEDFORD,1,130000.0,,,,
1995-04-01,BEDFORDSHIRE,532,57000.0,,,,
1995-04-01,BERKSHIRE,197,75000.0,,,,
1995-04-01,BLACKBURN WITH DARWEN,4,4500.0,,,,
1995-04-01,BLACKPOOL,177,41000.0,,,,
1995-04-01,BLAENAU GWENT,41,30000.0,,,,
1995-04-01,BOURNEMOUTH,309,55500.0,,,,
1995-04-01,BRACKNELL FOREST,171,78000.0,,,,
1995-04-01,BRIGHTON AND HOVE,7,55275.0,,,,
1995-04-01,BUCKINGHAMSHIRE,655,85500.0,,,,
1995-04-01,CAMBRIDGESHIRE,938,57000.0,,,,
1995-04-01,CARDIFF,314,52000.0,,,,
1995-04-01,CARMARTHENSHIRE,4,35997.5,,,,
1995-04-01,CEREDIGION,45,45000.0,,,,
1995-04-01,CHESHIRE,772,57500.0,,,,
1995-04-01,CHESHIRE EAST,7,75000.0,,,,
1995-04-01,CHESHIRE WEST AND CHESTER,3,60000.0,,,,
1995-04-01,CITY OF BRISTOL,6,25750.0,,,,
1995-04-01,CITY OF DERBY,3,30000.0,,,,
1995-04-01,CITY OF KINGSTON UPON HULL,4,18000.0,,,,
1995-04-01,CITY OF NOTTINGHAM,2,102500.0,,,,
1995-04-01,CITY OF PETERBOROUGH,1,98000.0,,,,
1995-04-01,CITY OF PLYMOUTH,6,6935.0,,,,
1995-04-01,CLEVELAND,139,43000.0,,,,
1995-04-01,CLWYD,323,45000.0,,,,
1995-04-01,CONWY,1,4500.0,,,,
1995-04-01,CORNWALL,623,48500.0,,,,
1995-04-01,COUNTY DURHAM,9,7000.0,,,,
1995-04-01,CUMBRIA,562,47000.0,,,,
1995-04-01,DARLINGTON,119,44500.0,,,,
1995-04-01,DERBYSHIRE,1074,44500.0,,,,
1995-04-01,DEVON,1170,52000.0,,,,
1995-04-01,DORSET,547,65000.0,,,,
1995-04-01,DURHAM,470,40000.0,,,,
1995-04-01,DYFED,217,40000.0,,,,
1995-04-01,EAST RIDING OF YORKSHIRE,7,60000.0,,,,
1995-04-01,EAST SUSSEX,1077,58000.0,,,,
1995-04-01,ESSEX,1652,59500.0,,,,
1995-04-01,FLINTSHIRE,5,47000.0,,,,
1995-04-01,GLOUCESTERSHIRE,704,56975.0,,,,
1995-04-01,GREATER LONDON,8195,72000.0,,,,
1995-04-01,GREATER MANCHESTER,2419,44000.0,,,,
1995-04-01,GWENT,131,48950.0,,,,
1995-04-01,GWYNEDD,177,40000.0,,,,
1995-04-01,HALTON,113,42000.0,,,,
1995-04-01,HAMPSHIRE,1865,66500.0,,,,
1995-04-01,HARTLEPOOL,78,32000.0,,,,
1995-04-01,HEREFORD AND WORCESTER,148,54000.0,,,,
1995-04-01,HEREFORDSHIRE,2,91250.0,,,,
1995-04-01,HERTFORDSHIRE,1371,72000.0,,,,
1995-04-01,HUMBERSIDE,1058,42000.0,,,,
1995-04-01,ISLE OF ANGLESEY,1,32000.0,,,,
1995-04-01,ISLE OF WIGHT,173,44500.0,,,,
1995-04-01,KENT,1882,55000.0,,,,
1995-04-01,LANCASHIRE,1456,44225.0,,,,
1995-04-01,LEICESTER,271,37950.0,,,,
1995-04-01,LEICESTERSHIRE,772,52387.5,,,,
1995-04-01,LINCOLNSHIRE,864,46000.0,,,,
1995-04-01,LUTON,229,42000.0,,,,
1995-04-01,MEDWAY,4,58250.0,,,,
1995-04-01,MERSEYSIDE,1154,42950.0,,,,
1995-04-01,MERTHYR TYDFIL,41,34000.0,,,,
1995-04-01,MID GLAMORGAN,455,38000.0,,,,
1995-04-01,MIDDLESBROUGH,125,42750.0,,,,
1995-04-01,MILTON KEYNES,312,56500.0,,,,
1995-04-01,MONMOUTHSHIRE,2,27650.0,,,,
1995-04-01,NEATH PORT TALBOT,3,34000.0,,,,
1995-04-01,NEWPORT,132,44497.5,,,,
1995-04-01,NORFOLK,1026,48450.0,,,,
1995-04-01,NORTH EAST LINCOLNSHIRE,5,30000.0,,,,
1995-04-01,NORTH LINCOLNSHIRE,1,60000.0,,,,
1995-04-01,NORTH SOMERSET,2,95000.0,,,,
1995-04-01,NORTH YORKSHIRE,712,57950.0,,,,
1995-04-01,NORTHAMPTONSHIRE,850,45000.0,,,,
1995-04-01,NORTHUMBERLAND,321,47000.0,,,,
1995-04-01,NOTTINGHAMSHIRE,1071,45000.0,,,,
1995-04-01,OXFORDSHIRE,812,70375.0,,,,
1995-04-01,PEMBROKESHIRE,2,150000.0,,,,
1995-04-01,POOLE,270,58500.0,,,,
1995-04-01,PORTSMOUTH,254,47250.0,,,,
1995-04-01,POWYS,76,42750.0,,,,
1995-04-01,READING,155,55000.0,,,,
1995-04-01,REDCAR AND CLEVELAND,4,46747.5,,,,
1995-04-01,RHONDDA CYNON TAFF,5,44950.0,,,,
1995-04-01,RUTLAND,44,69500.0,,,,
1995-04-01,SHROPSHIRE,569,49000.0,,,,
1995-04-01,SLOUGH,144,54425.0,,,,
1995-04-01,SOMERSET,641,53000.0,,,,
1995-04-01,SOUTH GLAMORGAN,133,54000.0,,,,
1995-04-01,SOUTH GLOUCESTERSHIRE,4,68225.0,,,,
1995-04-01,SOUTH YORKSHIRE,1140,40000.0,,,,
1995-04-01,SOUTHAMPTON,275,50000.0,,,,
1995-04-01,SOUTHEND-ON-SEA,250,48750.0,,,,
1995-04-01,STAFFORDSHIRE,909,48500.0,,,,
1995-04-01,STOCKTON-ON-TEES,167,45000.0,,,,
1995-04-01,STOKE-ON-TRENT,292,32000.0,,,,
1995-04-01,SUFFOLK,894,50000.0,,,,
1995-04-01,SURREY,1471,83500.0,,,,
1995-04-01,SWANSEA,183,47000.0,,,,
1995-04-01,SWINDON,2,69497.5,,,,
1995-04-01,THAMESDOWN,228,53040.0,,,,
1995-04-01,THE VALE OF GLAMORGAN,3,35000.0,,,,
1995-04-01,THURROCK,184,49495.0,,,,
1995-04-01,TORBAY,208,52500.0,,,,
1995-04-01,TORFAEN,87,38000.0,,,,
1995-04-01,TYNE AND WEAR,1014,42000.0,,,,
1995-04-01,WARRINGTON,199,49450.0,,,,
1995-04-01,WARWICKSHIRE,581,57500.0,,,,
1995-04-01,WEST GLAMORGAN,143,39500.0,,,,
1995-04-01,WEST MIDLANDS,2214,45950.0,,,,
1995-04-01,WEST SUSSEX,1172,65000.0,,,,
1995-04-01,WEST YORKSHIRE,2355,45500.0,,,,
1995-04-01,WILTSHIRE,577,59995.0,,,,
